id,source_situation,source_emotion_big,source_emotion_small,source_dialogue,diary,summary
train_0,"연애,결혼,출산",불안,조심스러운,아기를 겨우 재워서 조심스레 침대에 눕혔는데 또 깰까 봐 불안해. 힘들게 재운 아기가 깰까 봐 불안하시군요. 우리 아기가 작은 소리에도 깨는 민감한 아이라고 하더라고. 어떻게 하면 민감한 아기가 깨지 않고 잘 자는 데 도움을 줄 수 있을까요? 벨소리는 무조건 무음으로 바꿔 놓고 낮에는 많이 놀아 줘서 밤에 잘 잘 수 있게 도와줘야겠지. 아기가 깨지 않고 잘 자길 바라요.,"오늘 아기를 겨우 재워서 조심스레 침대에 눕혔어. 아기가 작은 소리에도 쉽게 깨는 민감한 아이라서 불안했는데, 다행히 잘 자고 있네. 낮에 많이 놀아줘서 밤에 잘 자게 도와줘야겠어. 아기가 편안하게 자고 있는 모습이 참 예쁘다.",1. 아기가 조용한 침대 위에서 편안하게 잠들어 있다. 2. 작은 손이 이불 위에 놓여져 있어 귀여운 모습이다. 3. 방 안은 조용하고 아기의 숨소리만이 들린다.
train_1,"대인관계(부부, 자녀)",기쁨,감사하는,우리 부자간은 사이가 좋아서 정말 감사해. 아드님과 사이가 좋아 감사함을 느끼시는군요. 날 닮아 무뚝뚝한 거 같지만 속으로 날 많이 챙기지. 무뚝뚝한 것 같지만 아드님이 많이 챙겨주는군요. 아드님과 사이가 좋은 비결이 있나요? 아들과 대화를 많이 하고 아들을 믿고 지지해줬어. 대화를 많이 나누고 지지해 주는 것이 비결이군요.,"오늘 아들과 대화를 많이 나눴어. 아들이 무뚝뚝한 나를 속으로 챙겨주는 걸 느끼니까 정말 고마워. 서로 믿고 지지해주니까 사이가 더 좋아지는 것 같아. 아들이 나를 닮아서 그런지, 가끔은 무뚝뚝해도 속은 따뜻하더라.","1. 아들이 무뚝뚝한 표정으로 나를 바라보고 있다.  
2. 서로의 눈을 마주치며 대화를 나누는 모습이 따뜻하다.  
3. 아들이 나를 챙기는 작은 행동들이 소중하게 느껴진다."
train_10,"대인관계(부부, 자녀)",기쁨,만족스러운,딸이 언제나 사랑한다고 해 줘서 너무 기뻐. 따님이 항상 애정표현 해주셔서 행복하시군요. 당연하지. 항상 사랑한다고 말해주니까 얼마나 기분이 좋은지. 어떻게 해야 따님분이 계속해서 사랑한다고 해주실까요? 나도 같이 사랑한다 해줘야지. 받기만 하지 말고 서로 표현을 잘 해줘야겠어. 따님분과의 좋은 관계가 계속해서 지속되길 바라요.,딸이 언제나 사랑한다고 해 줘서 너무 기뻐. 오늘도 사랑한다고 말해주니까 기분이 정말 좋더라. 서로 사랑한다고 표현하는 게 얼마나 중요한지 다시 느꼈어. 앞으로도 이렇게 서로 애정 표현 잘 해줘야겠다.,1. 딸이 엄마에게 사랑한다고 말하며 환하게 웃고 있다. 2. 따뜻한 분위기 속에서 서로의 눈빛이 애정으로 가득 차 있다. 3. 작은 손이 엄마의 손을 꼭 잡고 있다.
train_12,"대인관계(부부, 자녀)",당황,외로운,아이가 컸다고 방에만 있고 나오질 않네. 조금 외롭군. 아이가 방에서 나오지 않아 서운하세요? 밥 먹을 때만 잠깐 보고 얼굴 보기가 힘드네. 같이 시간을 보낼 방법을 찾고 싶어. 주말에 가족하고 시간은 어떻게 보내고 싶으세요? 같이 영화도 보고 싶고 게임도 하고 싶지. 주말에 영화 감상과 게임으로 가족과 시간을 보내고 싶어 하시는군요.,"요즘 아이가 방에만 있고 나오질 않아서 좀 서운하네. 밥 먹을 때 잠깐 얼굴 보는데, 그게 다라니. 주말에는 가족이랑 영화도 보고 게임도 하면서 시간을 보내고 싶어. 같이 놀고 싶다.",1. 아이가 방 안에서 혼자 시간을 보내고 있다. 2. 식탁에 앉아 아이의 얼굴을 잠깐 바라본다. 3. 주말에 가족과 함께할 영화와 게임을 계획하고 있다.
train_16,"연애,결혼,출산",상처,충격 받은,얼마 전에 딸아이를 낳았는데 아이가 나는 닮지 않고 아빠만 닮았어. 주변에서 남자 아기냐고 오해해서 충격이야. 기대와 달리 아기가 남자 아기처럼 보여 충격을 느끼시는군요. 심지어 우리 가족들도 남자 아기 같다고 장군처럼 듬직하게 생겼다고 해. 단 한 명도 예쁘다고 얘기해주지 않았어. 주변에서 아기를 예쁘다고 해주지 않아 서운하시군요. 아기를 보면 어떤 생각이 들어요? 너무 예쁘고 사랑스러워. 살도 오르고 부기도 빠져서 여자 아기 느낌이 나고 예뻐지고 있는 것 같아. 시간이 지나면서 아기의 얼굴이 점점 예뻐져서 기분이 좋으시군요.,"요즘 아기가 점점 예뻐지고 있어. 처음에는 아빠를 많이 닮아서 남자 아기 같다고들 했는데, 이제는 살도 오르고 부기도 빠져서 여자 아기 느낌이 나네. 주변에서 예쁘다고 해주지 않아서 서운했지만, 아기를 보면 사랑스럽고 기분이 좋아져. 아기가 웃을 때마다 내 마음도 따뜻해지는 것 같아.",1. 아기가 부드러운 이불 위에서 편안하게 자고 있다. 2. 아기의 얼굴이 점점 예뻐져서 사랑스러운 미소를 짓고 있다. 3. 따뜻한 조명이 아기의 얼굴을 부드럽게 감싸고 있다.
train_19,"대인관계(부부, 자녀)",상처,억울한,얼마 전에 우리 아들이 자기 누나랑 싸워서 나한테 혼난 일이 있었는데 아직도 나한테 삐진 것 같아. 그런 일이 있었군요. 마음이 상했겠네요. 누나에게 대들길래 혼을 좀 냈는데 자기만 혼낸다고 화를 내더라고 누나가 먼저 잘못했다면서. 아들이 억울했군요. 그래서 오늘은 아들이 좋아하는 치킨 좀 사다가 달래 보려고. 치킨으로 마음을 풀어주려고 하시는군요.,얼마 전에 아들이 누나랑 싸워서 혼났어. 아들이 억울해하는 모습이 너무 귀여웠다. 그래서 오늘은 아들이 좋아하는 치킨을 사서 달래주기로 했어. 치킨을 보며 환하게 웃는 아들이 생각하니 마음이 따뜻해진다.,1. 아들이 누나와 싸운 후 삐진 표정을 짓고 있다. 2. 치킨을 손에 들고 환하게 웃는 아들의 모습이 보인다. 3. 따뜻한 조명이 아들의 얼굴을 부드럽게 감싸고 있다.
train_21,"대인관계(부부, 자녀)",상처,상처,딸이 일명 어깨치기라고 하는 걸 당했나 봐. 상대방이 어떤 사과도 없이 지나쳤다며 화를 내는 거야. 어깨치기가 어떤 것인지 말씀해 주실 수 있으신가요? 길에서 지나칠 때 일부러 시비를 걸거나 상대방에게 피해를 주기 위해서 어깨를 툭 치고 지나가는 거야. 따님이 아주 속상하셨을 것 같아요. 딸의 마음을 달래줄 방법이 있을까요? 글쎄. 좋아하는 음식을 사줄까? 좋아하는 음식을 먹으며 딸의 화를 풀어 주려고 하시는군요.,"오늘 딸이 어깨치기를 당하고 많이 속상해했어. 길에서 누가 일부러 어깨를 쳐서 지나갔다는 얘기를 듣고, 마음이 아팠지. 그래서 좋아하는 음식을 사주기로 했어. 맛있는 걸 먹으면서 딸의 화를 풀어주고 싶어.",1. 딸이 속상한 표정으로 나를 바라보고 있다. 2. 길가에서 누군가가 딸의 어깨를 툭 치고 지나간 장면이 떠오른다. 3. 맛있는 음식을 준비하며 딸과 함께 웃을 날을 기다린다.
train_22,"대인관계(부부, 자녀)",상처,충격 받은,어느 날 우리 딸이 그러는 거야. 엄마는 왜 아빠 같은 사람을 만나서 나를 이렇게 못생긴 얼굴로 낳았냐는 거야. 따님이 한 말에 상처를 받으셨나요? 이 정도 일로 상처는 아니야. 그만하면 보통은 되는 얼굴이라고 다독였지. 다독여주셨군요. 따님의 반응은 어떠셨나요? 이해할 수 없다는 표정이었지. 납득하려면 시간이 좀 필요할 거 같아. 당장 딸의 의문을 풀 수는 없었군요.,"오늘 딸이 나한테 아빠 같은 사람을 만나서 왜 이렇게 못생긴 얼굴로 나왔냐고 물어봤어. 그 말에 좀 놀랐지만, 딸이 이해할 수 없다는 표정이 귀여워서 웃음이 나더라. 다독여주면서 '그만하면 보통은 되는 얼굴이야'라고 해줬지. 딸이 납득하려면 시간이 좀 필요할 것 같아.","1. 딸이 나를 바라보며 의아한 표정을 짓고 있다.  
2. 작은 손으로 내 얼굴을 가리키며 질문을 던진다.  
3. 따뜻한 조명 아래에서 서로의 눈빛이 교차한다."
train_23,"연애,결혼,출산",기쁨,신이 난,룰루랄라. 이름은 뭐가 좋을까? 기분이 좋으신가 봐요. 무슨 일인지 알 수 있을까요? 아빠가 될 것 같아서 이름을 지어야 해. 아이가 태어나는군요. 정말 기쁘시겠어요. 세상을 다 가진 기분이야. 누구보다 행복하시겠어요.,"오늘 아빠가 될 것 같다는 소식에 정말 기쁘네. 이름을 지어야 한다고 하니, 벌써부터 기대가 돼. 세상을 다 가진 기분이야. 아이가 태어나는 걸 생각하니 행복이 가득해.",1. 아빠가 될 소식에 기쁨이 가득한 모습이다. 2. 이름을 고민하는 모습이 상상된다. 3. 행복한 표정이 방 안을 따뜻하게 감싼다.
train_25,"대인관계(부부, 자녀)",기쁨,감사하는,코로나 때문에 집에만 있어 답답할 텐데 항상 밝은 아들이 고마워. 코로나로 외출을 못 하는데도 밝은 아드님 덕분에 행복해 보이세요. 아이가 밝으니 나도 힘든 줄 모르고 웃게 되는 것 같아. 밝은 아드님과 함께 웃는 생활을 하셔서 정말 다행이에요. 기특해서 선물이라도 해줘야겠어. 아드님이 대견해서 선물을 하려고 하시는군요.,"코로나 때문에 집에만 있어서 답답할 텐데, 아들이 항상 밝아서 정말 고마워. 외출을 못 해도 아들이 웃으니까 나도 힘든 줄 모르고 웃게 되는 것 같아. 아들이 기특해서 선물이라도 해줘야겠어. 이렇게 함께 웃는 생활을 할 수 있어서 정말 다행이야.",1. 아들이 환하게 웃으며 나를 바라보고 있다. 2. 집 안은 따뜻한 분위기로 가득 차 있다. 3. 아들의 밝은 표정이 코로나의 우울함을 잊게 해준다.
